name,type,start_time,duration,miso,mosi
Flipper-W5500,enable,1.100032167,0.000000083,,
Flipper-W5500,disable,1.100032333,0.000000083,,
Flipper-W5500,enable,1.200325083,0.000000083,,
Flipper-W5500,result,1.20032675,0.000003833,0x01,0x00
Flipper-W5500,result,1.20033075,0.000003833,0x02,0x39
Flipper-W5500,result,1.20033475,0.000003833,0x03,0x00
Flipper-W5500,result,1.200341417,0.000003833,0x04,0x00
Flipper-W5500,disable,1.2003465,0.000000083,,
Flipper-W5500,enable,1.20034925,0.000000083,,
Flipper-W5500,result,1.20035075,0.000003833,0x01,0x00
Flipper-W5500,result,1.20035475,0.000003833,0x02,0x09
Flipper-W5500,result,1.20035875,0.000003833,0x03,0x00
Flipper-W5500,result,1.200365333,0.000003833,0x00,0x4c
Flipper-W5500,result,1.20036975,0.000003833,0x00,0x28
Flipper-W5500,result,1.20037425,0.000003833,0x00,0x0a
Flipper-W5500,result,1.20037875,0.000003833,0x00,0x08
Flipper-W5500,result,1.20038325,0.000003833,0x00,0xa5
Flipper-W5500,result,1.20038775,0.000003833,0x00,0x47
Flipper-W5500,disable,1.20039275,0.000000083,,
Flipper-W5500,enable,1.200393833,0.000000083,,
Flipper-W5500,result,1.200395333,0.000003833,0x01,0x00
Flipper-W5500,result,1.200399333,0.000003833,0x02,0x01
Flipper-W5500,result,1.200403333,0.000003833,0x03,0x00
Flipper-W5500,result,1.200409917,0.000003833,0x00,0x6f
Flipper-W5500,result,1.200414333,0.000003917,0x00,0xa9
Flipper-W5500,result,1.200418833,0.000003833,0x00,0x01
Flipper-W5500,result,1.200423333,0.000003833,0x00,0x20
Flipper-W5500,disable,1.200428417,0.000000083,,
Flipper-W5500,enable,1.2004295,0.000000083,,
Flipper-W5500,result,1.200431,0.000003833,0x01,0x00
Flipper-W5500,result,1.200435,0.000003833,0x02,0x05
Flipper-W5500,result,1.200439,0.000003833,0x03,0x00
Flipper-W5500,result,1.200445583,0.000003833,0x00,0xe8
Flipper-W5500,result,1.20045,0.000003833,0x00,0x03
Flipper-W5500,result,1.2004545,0.000003833,0x00,0x00
Flipper-W5500,result,1.200459,0.000003833,0x00,0x00
Flipper-W5500,disable,1.200464083,0.000000083,,
Flipper-W5500,enable,1.200465083,0.000000083,,
Flipper-W5500,result,1.200466583,0.000003833,0x01,0x00
Flipper-W5500,result,1.200470583,0.000003833,0x02,0x0F
Flipper-W5500,result,1.200474583,0.000003833,0x03,0x00
Flipper-W5500,result,1.200481167,0.000003833,0x00,0x01
Flipper-W5500,result,1.200485667,0.000003833,0x00,0xea
Flipper-W5500,result,1.200490167,0.000003833,0x00,0x00
Flipper-W5500,result,1.200494667,0.000003833,0x00,0x08
Flipper-W5500,disable,1.200499667,0.000000083,,
Flipper-W5500,enable,1.20050075,0.000000083,,
Flipper-W5500,result,1.20050225,0.000003833,0x01,0x00
Flipper-W5500,result,1.20050625,0.000003833,0x02,0x00
Flipper-W5500,result,1.20051025,0.000003833,0x03,0x04
Flipper-W5500,result,1.20051425,0.000003833,0x00,0x80
Flipper-W5500,disable,1.200519583,0.000000083,,
Flipper-W5500,enable,1.2005205,0.000000083,,
Flipper-W5500,result,1.200522,0.000003833,0x01,0x00
Flipper-W5500,result,1.200526,0.000003833,0x02,0x00
Flipper-W5500,result,1.20053,0.000003833,0x03,0x00
Flipper-W5500,result,1.20053675,0.000003833,0x00,0x00
Flipper-W5500,disable,1.200541833,0.000000083,,
Flipper-W5500,enable,1.200542917,0.000000083,,
Flipper-W5500,result,1.200544333,0.000003833,0x01,0x00
Flipper-W5500,result,1.200548333,0.000003833,0x02,0x09
Flipper-W5500,result,1.200552333,0.000003833,0x03,0x04
Flipper-W5500,result,1.200558583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200562583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200566583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200570583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200574583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200578583,0.000003833,0x00,0x00
Flipper-W5500,disable,1.200583917,0.000000083,,
Flipper-W5500,enable,1.200584917,0.000000083,,
Flipper-W5500,result,1.200586417,0.000003833,0x01,0x00
Flipper-W5500,result,1.200590417,0.000003833,0x02,0x01
Flipper-W5500,result,1.200594417,0.000003833,0x03,0x04
Flipper-W5500,result,1.200600583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200604583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200608583,0.000003833,0x00,0x00
Flipper-W5500,result,1.200612583,0.000003833,0x00,0x00
Flipper-W5500,disable,1.200617917,0.000000083,,
Flipper-W5500,enable,1.200619,0.000000083,,
Flipper-W5500,result,1.200620417,0.000003833,0x01,0x00
Flipper-W5500,result,1.200624417,0.000003833,0x02,0x05
Flipper-W5500,result,1.200628417,0.000003833,0x03,0x04
Flipper-W5500,result,1.200634667,0.000003833,0x00,0x00
Flipper-W5500,result,1.200638667,0.000003833,0x00,0x00
Flipper-W5500,result,1.200642667,0.000003833,0x00,0x00
Flipper-W5500,result,1.200646667,0.000003833,0x00,0x00
Flipper-W5500,disable,1.200651917,0.000000083,,
Flipper-W5500,enable,1.200653,0.000000083,,
Flipper-W5500,result,1.2006545,0.000003833,0x01,0x00
Flipper-W5500,result,1.2006585,0.000003833,0x02,0x0F
Flipper-W5500,result,1.2006625,0.000003833,0x03,0x04
Flipper-W5500,result,1.200668667,0.000003833,0x00,0x00
Flipper-W5500,result,1.200672667,0.000003833,0x00,0x00
Flipper-W5500,result,1.200676667,0.000003833,0x00,0x00
Flipper-W5500,result,1.200680667,0.000003833,0x00,0x00
Flipper-W5500,disable,1.200685917,0.000000083,,
Flipper-W5500,enable,1.20068925,0.000000083,,
Flipper-W5500,result,1.200690833,0.000003833,0x01,0x00
Flipper-W5500,result,1.200694833,0.000003833,0x02,0x1F
Flipper-W5500,result,1.200698833,0.000003833,0x03,0x0C
Flipper-W5500,result,1.200702833,0.000003833,0x00,0x08
Flipper-W5500,disable,1.200708083,0.000000083,,
Flipper-W5500,enable,1.200709333,0.000000083,,
Flipper-W5500,result,1.200710833,0.000003833,0x01,0x00
Flipper-W5500,result,1.200714833,0.000003833,0x02,0x1F
Flipper-W5500,result,1.200718833,0.000003833,0x03,0x2C
Flipper-W5500,result,1.200722833,0.000003833,0x00,0x02
Flipper-W5500,disable,1.200728083,0.000000083,,
Flipper-W5500,enable,1.200729333,0.000000083,,
Flipper-W5500,result,1.200730833,0.000003917,0x01,0x00
Flipper-W5500,result,1.200734833,0.000003917,0x02,0x1F
Flipper-W5500,result,1.200738833,0.000003917,0x03,0x4C
Flipper-W5500,result,1.200742833,0.000003917,0x00,0x02
Flipper-W5500,disable,1.200748167,0.000000083,,
Flipper-W5500,enable,1.200749333,0.000000083,,
Flipper-W5500,result,1.200750917,0.000003833,0x01,0x00
Flipper-W5500,result,1.200754917,0.000003833,0x02,0x1F
Flipper-W5500,result,1.200758917,0.000003833,0x03,0x6C
Flipper-W5500,result,1.200762917,0.000003833,0x00,0x01
Flipper-W5500,disable,1.200768167,0.000000083,,
Flipper-W5500,enable,1.200769417,0.000000083,,
Flipper-W5500,result,1.200770917,0.000003833,0x01,0x00
Flipper-W5500,result,1.200774917,0.000003833,0x02,0x1F
Flipper-W5500,result,1.200778917,0.000003833,0x03,0x8C
Flipper-W5500,result,1.200782917,0.000003833,0x00,0x01
Flipper-W5500,disable,1.20078825,0.000000083,,
Flipper-W5500,enable,1.200789417,0.000000083,,
Flipper-W5500,result,1.200791,0.000003833,0x01,0x00
Flipper-W5500,result,1.200795,0.000003833,0x02,0x1F
Flipper-W5500,result,1.200799,0.000003833,0x03,0xAC
Flipper-W5500,result,1.200803,0.000003833,0x00,0x01
Flipper-W5500,disable,1.20080825,0.000000083,,
Flipper-W5500,enable,1.200809417,0.000000083,,
Flipper-W5500,result,1.200811,0.000003833,0x01,0x00
Flipper-W5500,result,1.200815,0.000003833,0x02,0x1F
Flipper-W5500,result,1.200819,0.000003833,0x03,0xCC
Flipper-W5500,result,1.200823,0.000003833,0x00,0x01
Flipper-W5500,disable,1.20082825,0.000000083,,
Flipper-W5500,enable,1.2008295,0.000000083,,
Flipper-W5500,result,1.200831,0.000003833,0x01,0x00
Flipper-W5500,result,1.200835,0.000003833,0x02,0x1F
Flipper-W5500,result,1.200839,0.000003833,0x03,0xEC
Flipper-W5500,result,1.200843,0.000003833,0x00,0x00
Flipper-W5500,disable,1.200848333,0.000000083,,
Flipper-W5500,enable,1.200851833,0.000000083,,
Flipper-W5500,result,1.200853417,0.000003833,0x01,0x00
Flipper-W5500,result,1.200857417,0.000003833,0x02,0x1E
Flipper-W5500,result,1.200861417,0.000003833,0x03,0x0C
Flipper-W5500,result,1.200865417,0.000003833,0x00,0x08
Flipper-W5500,disable,1.200870667,0.000000083,,
Flipper-W5500,enable,1.200871917,0.000000083,,
Flipper-W5500,result,1.200873417,0.000003833,0x01,0x00
Flipper-W5500,result,1.200877417,0.000003833,0x02,0x1E
Flipper-W5500,result,1.200881417,0.000003833,0x03,0x2C
Flipper-W5500,result,1.200885417,0.000003833,0x00,0x02
Flipper-W5500,disable,1.20089075,0.000000083,,
Flipper-W5500,enable,1.200892,0.000000083,,
Flipper-W5500,result,1.2008935,0.000003833,0x01,0x00
Flipper-W5500,result,1.2008975,0.000003833,0x02,0x1E
Flipper-W5500,result,1.2009015,0.000003833,0x03,0x4C
