name,type,start_time,duration,miso,mosi
Flipper-W5500,enable,1.121699417,0.000000083,,
Flipper-W5500,disable,1.121699667,0.000000083,,
Flipper-W5500,enable,1.222630167,0.000000083,,
Flipper-W5500,result,1.222631833,0.000003833,0x01,0x00
Flipper-W5500,result,1.222635833,0.000003833,0x02,0x39
Flipper-W5500,result,1.222639833,0.000003833,0x03,0x00
Flipper-W5500,result,1.2226465,0.000003833,0x04,0x00
Flipper-W5500,disable,1.222651583,0.000000083,,
Flipper-W5500,enable,1.222654333,0.000000083,,
Flipper-W5500,result,1.222655833,0.000003833,0x01,0x00
Flipper-W5500,result,1.222659833,0.000003833,0x02,0x09
Flipper-W5500,result,1.222663833,0.000003833,0x03,0x00
Flipper-W5500,result,1.222670417,0.000003833,0x00,0x4c
Flipper-W5500,result,1.222674917,0.000003833,0x00,0x28
Flipper-W5500,result,1.222679333,0.000003833,0x00,0x0a
Flipper-W5500,result,1.222683833,0.000003833,0x00,0x08
Flipper-W5500,result,1.222688333,0.000003833,0x00,0xa5
Flipper-W5500,result,1.222692833,0.000003833,0x00,0x47
Flipper-W5500,disable,1.222697833,0.000000083,,
Flipper-W5500,enable,1.222698917,0.000000083,,
Flipper-W5500,result,1.222700417,0.000003833,0x01,0x00
Flipper-W5500,result,1.222704417,0.000003833,0x02,0x01
Flipper-W5500,result,1.222708417,0.000003833,0x03,0x00
Flipper-W5500,result,1.222715,0.000003833,0x00,0x67
Flipper-W5500,result,1.2227195,0.000003833,0x00,0xa9
Flipper-W5500,result,1.222724,0.000003833,0x00,0x01
Flipper-W5500,result,1.222728417,0.000003833,0x00,0x20
Flipper-W5500,disable,1.2227335,0.000000083,,
Flipper-W5500,enable,1.222734583,0.000000083,,
Flipper-W5500,result,1.222736083,0.000003833,0x01,0x00
Flipper-W5500,result,1.222740083,0.000003833,0x02,0x05
Flipper-W5500,result,1.222744083,0.000003833,0x03,0x00
Flipper-W5500,result,1.222750667,0.000003833,0x00,0xe8
Flipper-W5500,result,1.222755167,0.000003833,0x00,0x03
