name,type,start_time,duration,miso,mosi
Flipper-W5500,enable,0.000137,0.000000083,,
Flipper-W5500,result,0.000138583,0.000003833,0x01,0x00
Flipper-W5500,result,0.000142583,0.000003833,0x02,0x24
Flipper-W5500,result,0.000146583,0.000003833,0x03,0x2C
Flipper-W5500,result,0.000150583,0.000003833,0x00,0x43
Flipper-W5500,disable,0.000155833,0.000000083,,
Flipper-W5500,enable,0.000156917,0.000000083,,
Flipper-W5500,result,0.000158417,0.000003833,0x01,0x00
Flipper-W5500,result,0.000162417,0.000003833,0x02,0x25
Flipper-W5500,result,0.000166417,0.000003833,0x03,0x2C
Flipper-W5500,disable,0.000170667,0.000000083,,
Flipper-W5500,enable,1.08882575,0.000000083,,
Flipper-W5500,disable,1.088825917,0.000000083,,
Flipper-W5500,enable,1.18918375,0.000000083,,
Flipper-W5500,result,1.189185417,0.000003833,0x01,0x00
Flipper-W5500,result,1.189189417,0.000003833,0x02,0x39
Flipper-W5500,result,1.189193417,0.000003833,0x03,0x00
Flipper-W5500,result,1.189200083,0.000003833,0x04,0x00
Flipper-W5500,disable,1.189205167,0.000000083,,
Flipper-W5500,enable,1.189207917,0.000000083,,
Flipper-W5500,result,1.189209417,0.000003833,0x01,0x00
Flipper-W5500,result,1.189213417,0.000003833,0x02,0x09
Flipper-W5500,result,1.189217417,0.000003833,0x03,0x00
Flipper-W5500,result,1.189224,0.000003833,0x00,0x4c
Flipper-W5500,result,1.1892285,0.000003833,0x00,0x28
Flipper-W5500,result,1.189232917,0.000003833,0x00,0x0a
Flipper-W5500,result,1.189237417,0.000003833,0x00,0x08
Flipper-W5500,result,1.189241917,0.000003833,0x00,0xa5
Flipper-W5500,result,1.189246417,0.000003833,0x00,0x47
Flipper-W5500,disable,1.189251417,0.000000083,,
Flipper-W5500,enable,1.1892525,0.000000083,,
Flipper-W5500,result,1.189254,0.000003833,0x01,0x00
Flipper-W5500,result,1.189258,0.000003833,0x02,0x01
Flipper-W5500,result,1.189262,0.000003833,0x03,0x00
Flipper-W5500,result,1.189268583,0.000003833,0x00,0x8f
Flipper-W5500,result,1.189273083,0.000003833,0x00,0xa9
Flipper-W5500,result,1.189277583,0.000003833,0x00,0x01
Flipper-W5500,result,1.189282,0.000003833,0x00,0x20
Flipper-W5500,disable,1.189287083,0.000000083,,
Flipper-W5500,enable,1.189288167,0.000000083,,
Flipper-W5500,result,1.189289667,0.000003833,0x01,0x00
Flipper-W5500,result,1.189293667,0.000003833,0x02,0x05
Flipper-W5500,result,1.189297667,0.000003833,0x03,0x00
Flipper-W5500,result,1.18930425,0.000003833,0x00,0xe8
Flipper-W5500,result,1.18930875,0.000003833,0x00,0x03
Flipper-W5500,result,1.189313167,0.000003833,0x00,0x00
Flipper-W5500,result,1.189317667,0.000003833,0x00,0x00
Flipper-W5500,disable,1.18932275,0.000000083,,
Flipper-W5500,enable,1.18932375,0.000000083,,
Flipper-W5500,result,1.18932525,0.000003833,0x01,0x00
Flipper-W5500,result,1.18932925,0.000003833,0x02,0x0F
Flipper-W5500,result,1.18933325,0.000003833,0x03,0x00
Flipper-W5500,result,1.189339833,0.000003833,0x00,0x01
Flipper-W5500,result,1.189344333,0.000003833,0x00,0xea
Flipper-W5500,result,1.189348833,0.000003833,0x00,0x00
Flipper-W5500,result,1.189353333,0.000003833,0x00,0x08
Flipper-W5500,disable,1.189358333,0.000000083,,
Flipper-W5500,enable,1.189359417,0.000000083,,
Flipper-W5500,result,1.189361,0.000003833,0x01,0x00
Flipper-W5500,result,1.189365,0.000003833,0x02,0x00
Flipper-W5500,result,1.189369,0.000003833,0x03,0x04
Flipper-W5500,result,1.189373,0.000003833,0x00,0x80
Flipper-W5500,disable,1.18937825,0.000000083,,
Flipper-W5500,enable,1.18937925,0.000000083,,
Flipper-W5500,result,1.18938075,0.000003833,0x01,0x00
Flipper-W5500,result,1.18938475,0.000003833,0x02,0x00
Flipper-W5500,result,1.18938875,0.000003833,0x03,0x00
Flipper-W5500,result,1.189395417,0.000003833,0x00,0x00
Flipper-W5500,disable,1.1894005,0.000000083,,
Flipper-W5500,enable,1.189401583,0.000000083,,
Flipper-W5500,result,1.189403,0.000003833,0x01,0x00
Flipper-W5500,result,1.189407,0.000003833,0x02,0x09
Flipper-W5500,result,1.189411,0.000003833,0x03,0x04
Flipper-W5500,result,1.18941725,0.000003833,0x00,0x00
Flipper-W5500,result,1.18942125,0.000003833,0x00,0x00
Flipper-W5500,result,1.18942525,0.000003833,0x00,0x00
Flipper-W5500,result,1.18942925,0.000003833,0x00,0x00
Flipper-W5500,result,1.18943325,0.000003833,0x00,0x00
Flipper-W5500,result,1.18943725,0.000003833,0x00,0x00
Flipper-W5500,disable,1.189443583,0.000000083,,
Flipper-W5500,enable,1.189444583,0.000000083,,
Flipper-W5500,result,1.189446083,0.000003833,0x01,0x00
Flipper-W5500,result,1.189450083,0.000003833,0x02,0x01
Flipper-W5500,result,1.189454083,0.000003833,0x03,0x04
Flipper-W5500,result,1.189460333,0.000003833,0x00,0x00
Flipper-W5500,result,1.189464333,0.000003833,0x00,0x00
Flipper-W5500,result,1.189468333,0.000003833,0x00,0x00
Flipper-W5500,result,1.189472333,0.000003833,0x00,0x00
Flipper-W5500,disable,1.189477583,0.000000083,,
Flipper-W5500,enable,1.189478667,0.000000083,,
Flipper-W5500,result,1.189480167,0.000003833,0x01,0x00
Flipper-W5500,result,1.189484167,0.000003833,0x02,0x05
Flipper-W5500,result,1.189488167,0.000003833,0x03,0x04
Flipper-W5500,result,1.189494417,0.000003833,0x00,0x00
